epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,505.588,1.58065,1.39576,2.12952,0.79869,0.84507,0.90104,0.65567,1.20986,1.31378,2.09396,0.0011882,0.0011882,0.0011882
84,511.218,1.65448,1.51579,2.15553,0.64302,0.91549,0.85908,0.61384,1.25643,1.34618,2.12301,0.0011783,0.0011783,0.0011783
85,517.535,1.54855,1.40176,2.14468,0.77148,0.87324,0.87618,0.61082,1.27288,1.1809,2.135,0.0011684,0.0011684,0.0011684
86,523.118,1.64151,1.55229,2.24129,0.8541,0.84507,0.92294,0.63192,1.3061,1.15391,2.16329,0.0011585,0.0011585,0.0011585
87,529.528,1.55314,1.33019,2.08817,0.8541,0.84507,0.92294,0.63192,1.3061,1.15391,2.16329,0.0011486,0.0011486,0.0011486
88,535.128,1.60394,1.48524,2.18381,0.828,0.84507,0.91847,0.68004,1.20969,1.07472,2.09597,0.0011387,0.0011387,0.0011387
89,540.982,1.54407,1.33723,2.0898,0.77711,0.88392,0.90605,0.61767,1.32433,1.07591,2.20248,0.0011288,0.0011288,0.0011288
90,547.406,1.52283,1.2744,2.04552,0.81962,0.8169,0.89578,0.62217,1.29144,1.13647,2.15657,0.0011189,0.0011189,0.0011189
91,553.125,1.56501,1.35654,2.13934,0.81962,0.8169,0.89578,0.62217,1.29144,1.13647,2.15657,0.001109,0.001109,0.001109
92,559.519,1.47269,1.22462,2.04811,0.7867,0.83115,0.89741,0.63403,1.26452,1.08894,2.11122,0.0010991,0.0010991,0.0010991
93,564.941,1.50174,1.22261,2.04807,0.85378,0.91549,0.93212,0.66721,1.23546,1.03383,2.05872,0.0010892,0.0010892,0.0010892
94,571.329,1.67321,1.48093,2.19342,0.8973,0.86139,0.95525,0.66316,1.2862,1.049,2.06287,0.0010793,0.0010793,0.0010793
95,576.875,1.46979,1.29631,2.07846,0.8973,0.86139,0.95525,0.66316,1.2862,1.049,2.06287,0.0010694,0.0010694,0.0010694
96,582.693,1.45651,1.16105,2.0393,0.85637,0.88732,0.93902,0.67456,1.22938,1.02776,2.02612,0.0010595,0.0010595,0.0010595
97,589.154,1.42582,1.17461,1.92773,0.84273,0.87324,0.89319,0.66353,1.14935,1.02225,1.99892,0.0010496,0.0010496,0.0010496
98,594.68,1.48315,1.26359,2.08477,0.86285,0.88732,0.91585,0.63751,1.29616,1.02681,2.12463,0.0010397,0.0010397,0.0010397
99,600.926,1.44544,1.18291,2.02265,0.86285,0.88732,0.91585,0.63751,1.29616,1.02681,2.12463,0.0010298,0.0010298,0.0010298
100,606.518,1.44422,1.16346,2.00507,0.85584,0.91978,0.94463,0.65479,1.31475,0.98974,2.15101,0.0010199,0.0010199,0.0010199
101,612.366,1.50972,1.24764,2.04326,0.92001,0.91549,0.96438,0.69828,1.11219,0.94316,2.01965,0.00101,0.00101,0.00101
102,618.667,1.38738,1.08943,1.89538,0.85913,0.94366,0.94701,0.70309,1.09233,0.93899,1.9913,0.0010001,0.0010001,0.0010001
103,624.24,1.42918,1.18877,2.03128,0.85913,0.94366,0.94701,0.70309,1.09233,0.93899,1.9913,0.0009902,0.0009902,0.0009902
104,630.638,1.43332,1.11835,2.011,0.83204,0.90707,0.93746,0.68222,1.11856,0.97481,1.9925,0.0009803,0.0009803,0.0009803
105,636.225,1.42665,1.12752,2.02142,0.9341,0.84507,0.95283,0.68908,1.09978,0.92127,1.9729,0.0009704,0.0009704,0.0009704
106,641.942,1.37226,1.12539,1.97776,0.90456,0.87324,0.95689,0.72929,1.07816,0.90253,1.96955,0.0009605,0.0009605,0.0009605
107,647.578,1.37197,1.10808,1.9638,0.90456,0.87324,0.95689,0.72929,1.07816,0.90253,1.96955,0.0009506,0.0009506,0.0009506
108,653.334,1.3694,1.13043,1.97188,0.81803,0.94976,0.94353,0.68533,1.15788,0.91999,2.04533,0.0009407,0.0009407,0.0009407
109,659.686,1.39106,1.11497,1.96264,0.82498,0.92944,0.93487,0.70148,1.07281,0.90246,1.99174,0.0009308,0.0009308,0.0009308
110,665.251,1.34932,1.08821,1.92903,0.83833,0.90141,0.94229,0.70514,1.09281,0.88155,1.9758,0.0009209,0.0009209,0.0009209
111,671.27,1.3658,1.11712,1.92582,0.83833,0.90141,0.94229,0.70514,1.09281,0.88155,1.9758,0.000911,0.000911,0.000911
112,676.919,1.35784,1.12591,1.93746,0.89161,0.92958,0.95829,0.71293,1.11395,0.85535,1.96778,0.0009011,0.0009011,0.0009011
113,682.966,1.35024,1.11693,1.91825,0.95535,0.84507,0.96544,0.71414,1.0895,0.85048,1.93025,0.0008912,0.0008912,0.0008912
114,689.309,1.33781,1.09927,1.891,0.96802,0.85274,0.9642,0.72316,1.08137,0.84834,1.9207,0.0008813,0.0008813,0.0008813
115,695.267,1.31978,1.14521,1.94427,0.96802,0.85274,0.9642,0.72316,1.08137,0.84834,1.9207,0.0008714,0.0008714,0.0008714
116,701.463,1.27426,1.03401,1.81929,0.96129,0.87324,0.96909,0.71951,1.08319,0.81252,1.95726,0.0008615,0.0008615,0.0008615
117,706.939,1.34202,1.07808,1.89607,0.92782,0.90527,0.96473,0.72942,1.07801,0.83796,1.96855,0.0008516,0.0008516,0.0008516
118,712.882,1.42037,1.20018,1.92688,0.93174,0.90141,0.96343,0.72293,1.08009,0.84421,1.95627,0.0008417,0.0008417,0.0008417
119,718.671,1.30335,1.03309,1.85884,0.93174,0.90141,0.96343,0.72293,1.08009,0.84421,1.95627,0.0008318,0.0008318,0.0008318
120,724.548,1.31475,1.0644,1.8813,0.88514,0.91549,0.95304,0.71556,1.06324,0.85686,1.92515,0.0008219,0.0008219,0.0008219
121,731.314,1.27781,1.01755,1.8317,0.90738,0.83099,0.93832,0.70241,1.02735,0.8755,1.88243,0.000812,0.000812,0.000812
122,736.879,1.25771,1.04243,1.86317,0.82059,0.90189,0.93549,0.7131,1.00559,0.88299,1.85538,0.0008021,0.0008021,0.0008021
123,743.106,1.3281,1.04782,1.85119,0.82059,0.90189,0.93549,0.7131,1.00559,0.88299,1.85538,0.0007922,0.0007922,0.0007922
124,749.041,1.25601,1.05538,1.90886,0.8956,0.77465,0.9255,0.70978,0.98413,0.89493,1.82777,0.0007823,0.0007823,0.0007823
125,754.654,1.22034,1.01581,1.81513,0.79269,0.91551,0.92814,0.71074,0.97537,0.87363,1.82734,0.0007724,0.0007724,0.0007724
126,760.482,1.24759,1.08326,1.81521,0.80976,0.92958,0.94173,0.74753,0.93088,0.80835,1.80616,0.0007625,0.0007625,0.0007625
127,766.277,1.24746,1.00293,1.80242,0.80976,0.92958,0.94173,0.74753,0.93088,0.80835,1.80616,0.0007526,0.0007526,0.0007526
128,773.037,1.30011,1.07637,1.88452,0.92774,0.90424,0.96684,0.76056,0.95771,0.7645,1.84624,0.0007427,0.0007427,0.0007427
129,778.728,1.22617,0.98926,1.80055,0.93554,0.92958,0.97098,0.75509,1.00755,0.78671,1.87699,0.0007328,0.0007328,0.0007328
130,784.775,1.25475,1.02654,1.81285,0.91851,0.9525,0.97549,0.74897,0.96446,0.81317,1.83555,0.0007229,0.0007229,0.0007229
